job_id,company,job_title,location,provider,job_url,status,application_date,posted_at,scraped_at,linkedin_job_url,customized_resume_id,customized_resume_path,resume_bucket,notes
naukri:300426042112,Code Crafters,Fullstack Developer,India,naukri,https://www.naukri.com/job-listings-fullstack-developer-code-crafters-hoshiarpur-1-to-6-years-300426042112,applied,2026-05-01T21:09:45.273493+00:00,2026-04-30T21:35:16+00:00,2026-04-30T16:48:10.361113+00:00,,b1cbd777-400d-41ee-bbe5-359324584a20,VIKAS_POKALA_CODE_CRAFTERS_NAUKRI_300426042112.pdf,personalized_resumes,
4408794169,SourcingXPress,Backend Developer,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4408794169/,applied,2026-05-01T17:39:02.628222+00:00,,2026-04-30T16:48:10.361113+00:00,https://www.linkedin.com/jobs/view/4408794169/,1f191c41-aa46-4df2-b93d-4de4d58c1181,VIKAS_POKALA_SOURCINGXPRESS_4408794169.pdf,personalized_resumes,
4406951653,InovarTech,Python Backend Developer,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4406951653/,applied,2026-05-01T17:30:23.335649+00:00,,2026-04-30T16:48:10.361113+00:00,https://www.linkedin.com/jobs/view/4406951653/,938ed32d-5dd8-46b2-b92e-a778e145eb00,VIKAS_POKALA_INOVARTECH_4406951653.pdf,personalized_resumes,
naukri:280426932975,Talent  Corner HR Services Pvt Ltd,Full Stack Developer,"Hyderabad, Telangana, India",naukri,https://www.naukri.com/job-listings-full-stack-developer-talent-corner-hr-services-pvt-ltd-hyderabad-chennai-bengaluru-2-to-5-years-280426932975,applied,2026-05-01T17:17:43.991841+00:00,2026-04-28T17:47:01+00:00,2026-04-30T16:48:10.361113+00:00,,d2f931a6-b415-4da7-8ba7-d0ad5684a016,VIKAS_POKALA_TALENT_CORNER_HR_SERVICES_PVT_LTD_NAUKRI_280426932975.pdf,personalized_resumes,
naukri:300426917805,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,Developer,India,naukri,https://www.naukri.com/job-listings-developer-volkswagen-group-technology-solutions-india-private-limited-pune-gurugram-bengaluru-2-to-3-years-300426917805,applied,2026-05-01T17:14:36.236201+00:00,2026-04-30T12:43:00+00:00,2026-04-30T16:48:10.361113+00:00,,94dd0e16-e456-4197-982f-5d060abec160,VIKAS_POKALA_VOLKSWAGEN_GROUP_DIGITAL_SOLUTIONS_PRIVATE_LIMITED_NAUKRI_300426917805.pdf,personalized_resumes,
naukri:300426038119,Select Source International,Web Developer,India,naukri,https://www.naukri.com/job-listings-web-developer-select-source-international-noida-pune-delhi-ncr-2-to-7-years-300426038119,applied,2026-05-01T17:04:31.785097+00:00,2026-04-30T18:46:40+00:00,2026-04-30T16:48:10.361113+00:00,,5fe35efa-ac09-4791-b12b-5201f2ff0e98,VIKAS_POKALA_SELECT_SOURCE_INTERNATIONAL_NAUKRI_300426038119.pdf,personalized_resumes,
naukri:300426021845,Techgrit Solutions India,Java Developer,"Hyderabad, Telangana, India",naukri,https://www.naukri.com/job-listings-java-developer-techgrit-solutions-india-hyderabad-2-to-5-years-300426021845,applied,2026-05-01T16:55:44.558996+00:00,2026-04-30T14:22:21+00:00,2026-04-30T16:48:10.361113+00:00,,0f400911-e519-4026-9db1-c243366ecbfb,VIKAS_POKALA_TECHGRIT_SOLUTIONS_INDIA_NAUKRI_300426021845.pdf,personalized_resumes,
naukri:300426026146,Care Health Insurance,Fullstack Developer,India,naukri,https://www.naukri.com/job-listings-fullstack-developer-care-health-insurance-gurugram-2-to-5-years-300426026146,applied,2026-05-01T16:42:01.254279+00:00,2026-04-30T16:21:09+00:00,2026-04-30T16:48:10.361113+00:00,,ffa50e1f-58e6-4fc8-9022-7b7c558e0d07,VIKAS_POKALA_CARE_HEALTH_INSURANCE_NAUKRI_300426026146.pdf,personalized_resumes,
4407618073,Citi,Java Fullstack Developer,"Pune Division, Maharashtra, India",linkedin,https://www.linkedin.com/jobs/view/4407618073/,applied,2026-05-01T16:11:58.931492+00:00,,2026-04-30T16:48:10.361113+00:00,https://www.linkedin.com/jobs/view/4407618073/,7f3c3b19-8a09-4256-9093-9a6369784af2,VIKAS_POKALA_CITI_4407618073.pdf,personalized_resumes,
4408586619,Draup,Draup - Backend Engineer - Distributed Systems,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4408586619/,applied,2026-05-01T15:39:29.12531+00:00,,2026-04-30T16:48:10.361113+00:00,https://www.linkedin.com/jobs/view/4408586619/,,,personalized_resumes,
manual_d6bef235b84843d8,People Interactive (I) Pvt Ltd.,Associate Product Manager,Mumbai (Tardeo HO)-Maharashtra,openroles.peopleinteractive.in,https://openroles.peopleinteractive.in/apply?job=5393,applied,2026-05-01T15:37:58.453613+00:00,,2026-05-01T15:17:54.184205+00:00,,3a21160f-ef3d-4e0b-a77a-23ca7c611365,VIKAS_POKALA_PEOPLE_INTERACTIVE_I_PVT_LTD_MANUAL_D6BEF235B84843D8.pdf,personalized_resumes,
4406465067,SCIENTIFIC GAMES,Software Engineer - Java Full Stack Developer,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4406465067/,applied,2026-05-01T15:19:39.555118+00:00,,2026-04-30T16:48:10.361113+00:00,https://www.linkedin.com/jobs/view/4406465067/,e5e64e9d-5763-4670-be40-cc4b94fa3611,VIKAS_POKALA_SCIENTIFIC_GAMES_4406465067.pdf,personalized_resumes,
4406946852,"Centre for Digital Tech. in Healthcare (CDiTH), IIITH",Fullstack Engineer,"Hyderabad, Telangana, India",linkedin,https://www.linkedin.com/jobs/view/4406946852/,applied,2026-05-01T15:04:39.12593+00:00,,2026-04-30T16:48:10.361113+00:00,https://www.linkedin.com/jobs/view/4406946852/,25d3f6a3-1f7d-46d4-a755-df58c3839acc,VIKAS_POKALA_CENTRE_FOR_DIGITAL_TECH_IN_HEALTHCARE_CDITH_IIITH_4406946852.pdf,personalized_resumes,
naukri:280426933034,Talent  Corner HR Services Pvt Ltd,Software Engineer,"Hyderabad, Telangana, India",naukri,https://www.naukri.com/job-listings-software-engineer-talent-corner-hr-services-pvt-ltd-hyderabad-pune-bengaluru-2-to-5-years-280426933034,applied,2026-04-30T21:00:32.591359+00:00,2026-04-28T17:47:17+00:00,2026-04-30T16:48:10.361113+00:00,,f4776ff5-e44f-41dd-86c6-fd94944542ca,VIKAS_POKALA_TALENT_CORNER_HR_SERVICES_PVT_LTD_NAUKRI_280426933034.pdf,personalized_resumes,
4407347073,Whatfix,Back End Developer,"Bengaluru, Karnataka, India",linkedin,https://www.linkedin.com/jobs/view/4407347073/,applied,2026-04-30T20:57:58.064962+00:00,,2026-04-30T16:48:10.361113+00:00,https://www.linkedin.com/jobs/view/4407347073/,1a5aaab1-08f6-4a92-8a9f-951d1a6e1160,VIKAS_POKALA_WHATFIX_4407347073.pdf,personalized_resumes,
